Name,Input
1PRW,"5-20/A16-35/10-25/A52-71/5-20"
1BCF,"8-15/A92-99/16-30/A123-130/16-30/A47-54/16-30/A18-25/8-15"
5TPN,"10-40/A163-181/10-40"
5IUS,"0-30/A119-140/15-40/A63-82/0-30"
3IXT,"10-40/P254-277/10-40"
5YUI,"5-30/A93-97/5-20/A118-120/10-35/A198-200/10-30"
1QJG,"10-20/A38-38/15-30/A14-14/15-30/A99-99/10-20"
1YCR,"10-40/B19-27/10-40"
2KL8,"A1-7/20-20/A28-79"
7MRX_60,"0-38/B25-46/0-38"
7MRX_85,"0-63/B25-46/0-63"
7MRX_128,"0-122/B25-46/0-122"
4JHW,"10-25/F196-212/15-30/F63-69/10-25"
4ZYP,"10-40/A422-436/10-40"
5WN9,"10-40/A170-189/10-40"
6VW1,"E400-510/20-45/A24-42/4-10/A64-82/0-5"
5TRV_short,"0-35/A45-65/0-35"
5TRV_med,"0-65/A45-65/0-65"
5TRV_long,"0-95/A45-65/0-95"
6E6R_short,"0-35/A23-35/0-35"
6E6R_med,"0-65/A23-35/0-65"
6E6R_long,"0-95/A23-35/0-95"
6EXZ_short,"0-35/A28-42/0-35"
6EXZ_med,"0-65/A28-42/0-65"
6EXZ_long,"0-95/A28-42/0-95"
